epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.837,1.09324,1.28223,1.15151,0.5564,0.41192,0.41672,0.20812,1.69443,1.58237,1.45247,0.00333236,0.00333236,0.00333236
2,386.589,0.86881,0.85512,1.05189,0.52822,0.37232,0.36928,0.17987,1.76359,1.66329,1.5181,0.00659971,0.00659971,0.00659971
3,598.759,0.87996,0.82094,1.05964,0.51756,0.36478,0.36792,0.17426,1.85354,1.67753,1.59248,0.00980105,0.00980105,0.00980105
4,809.444,0.87697,0.78764,1.06404,0.53239,0.34561,0.35486,0.16539,1.89915,1.72575,1.62782,0.009703,0.009703,0.009703
5,1027.38,0.79866,0.70777,1.03721,0.51397,0.37239,0.37265,0.17889,1.84206,1.62489,1.58098,0.009604,0.009604,0.009604
6,1238.41,0.75067,0.66032,1.01732,0.51812,0.36331,0.37354,0.17986,1.80472,1.59147,1.53396,0.009505,0.009505,0.009505
7,1452.19,0.713,0.62737,1.0069,0.5178,0.38811,0.38858,0.19029,1.79133,1.56388,1.55594,0.009406,0.009406,0.009406
8,1666.43,0.68994,0.60541,0.99541,0.53457,0.39148,0.40231,0.19766,1.78476,1.52425,1.52009,0.009307,0.009307,0.009307
9,1883.78,0.66453,0.58159,0.98607,0.52637,0.37541,0.38669,0.19201,1.76655,1.56767,1.53706,0.009208,0.009208,0.009208
10,2081.85,0.64971,0.56631,0.98336,0.54049,0.39879,0.40863,0.20066,1.76458,1.52252,1.52206,0.009109,0.009109,0.009109
11,2291.82,0.63554,0.55678,0.98064,0.55644,0.3969,0.41331,0.2068,1.7361,1.50418,1.49528,0.00901,0.00901,0.00901
12,2488.92,0.61987,0.54616,0.97329,0.54953,0.40574,0.41882,0.20798,1.73947,1.48803,1.52242,0.008911,0.008911,0.008911
13,2699.22,0.61048,0.53718,0.97055,0.56009,0.40526,0.4254,0.21193,1.74219,1.49023,1.52209,0.008812,0.008812,0.008812
14,2910.4,0.59419,0.52259,0.96625,0.54975,0.40392,0.42232,0.21346,1.70725,1.48821,1.4774,0.008713,0.008713,0.008713
15,3099.36,0.59621,0.52327,0.96602,0.55248,0.40539,0.42438,0.21578,1.69645,1.46707,1.47819,0.008614,0.008614,0.008614
16,3313.3,0.57967,0.5086,0.9599,0.57494,0.41748,0.44392,0.22494,1.69721,1.43056,1.46412,0.008515,0.008515,0.008515
17,3528.78,0.57824,0.5088,0.95972,0.56267,0.41857,0.44144,0.22266,1.70977,1.43854,1.49073,0.008416,0.008416,0.008416
18,3728.32,0.57032,0.50263,0.95736,0.57402,0.41674,0.44011,0.22433,1.67406,1.43879,1.45899,0.008317,0.008317,0.008317
19,3933.87,0.5629,0.49568,0.95515,0.55881,0.42242,0.43586,0.22226,1.68004,1.42548,1.4827,0.008218,0.008218,0.008218
20,4143.16,0.55393,0.48996,0.95242,0.57307,0.42297,0.44523,0.22766,1.68604,1.41129,1.45842,0.008119,0.008119,0.008119
21,4352.18,0.55194,0.487,0.95152,0.57706,0.42859,0.45108,0.23069,1.66817,1.41229,1.46047,0.00802,0.00802,0.00802
22,4551.9,0.5461,0.48169,0.94999,0.5784,0.43036,0.45324,0.23325,1.66412,1.408,1.44439,0.007921,0.007921,0.007921
